"codAnimal","nomeComum","nomeCientifico","codGrupoTax","codValorBiologico"
"1","abre-asa-de-cabeça-cinza","Mionectes rufiventris","3","0"
"2","alcaide","Euphonia pectoralis","3","0"
"3","alegrinho","Serpophaga subcristata","3","0"
"4","alma-de-gato","Piaya cayana","3","0"
"5","andorinha","Pygochelidon melanoleuca","3","0"
"6","andorinha-de-casa","Notiochelidon cyanoleuca","3","0"
"7","andorinhão","Chaetura cinereiventris ","3","0"
"8","andorinhão","Cypseloides fumigatus","3","0"
"9","andorinhão","Streptoprocne zonaris","3","0"
"10","andorinhão-de-coleira-falha","Streptoprocne biscutata","3","0"
"11","andorinha-pequena-de-casa","Pygochelidon cyanoleuca","3","0"
"12","anfíbio","anfíbio s/id","1","0"
"13","anú-branco","Guira guira","3","0"
"14","anú-preto","Crotophaga ani","3","0"
"16","araçari-banana","Pteroglossus bailloni","3","11"
"17","araçari-de-bico-branco","Pteroglossus aracari","3","0"
"18","araçari-poca","Selenidera maculirostris","3","0"
"19","arapaçu-bico-de-cunha","Glyphorynchus spirurus","3","0"
"20","arapaçu-de-garganta-branca","Xiphocolaptes albicollis","3","0"
"22","arapaçu-rajado","Xiphorhynchus fuscus","3","0"
"23","arapaçu-verde","Sittasomus griseicapillus","3","0"
"25","ararinha","Primolius maracana","4","11"
"26","ariramba","Galbula ruficauda","3","0"
"27","ave","Basileuterus sp.","3","0"
"28","ave","Elaenia sp.","3","0"
"29","ave","Emberizidae","3","0"
"30","ave","Euphonia sp.","3","0"
"31","ave","Myiarchus sp.","3","0"
"32","ave","ave s/id","3","0"
"33","ave","Synallaxis sp.","3","0"
"34","ave","Thamnophilidae","3","0"
"35","ave","Tyrannidae","3","0"
"36","azul","Passerina brissonii","3","0"
"37","azulão-bóia","Leptophis ahaetulla","2","0"
"38","bacurau","Hydropsalis albicollis","3","0"
"39","bacurau-da-telha","Hydropsalis longirostris","3","0"
"40","bacurau-tesoura","Hydropsalis torquata","3","0"
"41","baiano","Sporophila nigricollis","3","0"
"42","barbudo-rajado","Malacoptila striata","3","0"
"43","beija-flor","Phaethornis sp.","3","0"
"45","beija-flor-besour","Glaucis hirsutus ","3","0"
"46","beija-flor-de-fronte-violeta","Thalurania glaucopis","3","0"
"47","beija-flor-de-peito-azul","Amazilia lactea","3","0"
"48","beija-flor-de-rabo-branco","Phaethornis pretrei","3","0"
"49","beija-flor-de-rabo-branco-pequeno","Phaethornis squalidus","3","0"
"50","beija-flor-preto","Florisuga fusca","3","0"
"51","beija-flor-rajado","Ramphodon naevius","3","0"
"52","beija-flor-tesoura","Eupetomena macroura","3","0"
"53","bem-te-vi","Pitangus sulphuratus","3","0"
"54","bem-te-vizinho","Empidonomus varius","3","0"
"55","bentevizinho-de-penacho-vermelho","Myiozetetes similis","3","0"
"57","bico-chato-de-orelha-preta","Tolmomyias sulphurescens","3","0"
"58","bico-de-lacre","Estrilda astrild","3","10"
"59","caburé","Glaucidium brasilianum","3","0"
"60","cachorro-do-mato","Cerdocyon thous","4","0"
"62","calango","Tropidurus torquatus","2","0"
"63","cambacica","Coereba flaveola","3","0"
"64","camundongo","Mus musculus","4","0"
"65","canário","Sicalis sp.","3","0"
"66","canário-da-terra","Sicalis flaveola","3","0"
"67","canário-do-campo","Emberizoides herbicola","3","0"
"68","caneleiro-bordado","Pachyramphus marginatus","3","0"
"69","caninana","Spilotes pullatus","2","0"
"71","capivara","Hydrochoerus hydrochaeris","4","7"
"72","carcará","Polyborus plancus","3","0"
"73","casaca-de-couro-amarelo","Furnarius leucopus","3","0"
"74","casaca-de-couro-da-lama ","Furnarius figulus","3","0"
"75","cascavel","Crotalus durissus","2","0"
"76","cascavel","Crotalus sp.","2","0"
"77","choca-da-mata","Thamnophilus caerulescens","3","0"
"78","choca-listrada","Thamnophilus palliatus","3","0"
"79","choquinha-de-flancos-brancos","Myrmotherula axillaris","3","0"
"80","choquinha-de-garganta-pintada","Rhopias gularis","3","0"
"81","choquinha-lisa","Dysithamnus mentalis","3","0"
"82","cigarra-bambu","Halospiza unicolor","3","0"
"83","cobra-cipó","Chironius bicarinatus","2","0"
"84","cobra-cipó","Chironius fuscus","2","0"
"85","cobra-cipó","Chironius laevicollis","2","0"
"86","cobra-d'água","Liophis miliaris","2","0"
"87","cobra-de-capim","Liophis poecilogyrus","2","0"
"88","cobra-de-vidro","Ophiodes fragilis","2","0"
"89","cobra-de-vidro","Ophiodes sp.","2","0"
"90","cobra-de-vidro","Ophiodes striatus","2","0"
"91","cobra-papa-pinto","Pseustes sulphureus","2","0"
"92","cobra-parelheira","Philodryas patagoniensis","2","0"
"93","cobra-preta","Oxyrhopus petolarius","2","0"
"94","cobra-verde","Philodryas olfersii","2","0"
"95","coelho-europeu","Oryctolagus cuniculus","4","0"
"96","coleirinho","Sporophila caerulescens","3","0"
"97","coleiro","Sporophila sp.","3","0"
"98","corruíra","Troglodytes musculus","3","0"
"99","coruja","em processo de id","3","0"
"100","coruja","Megascops sp.","3","0"
"101","coruja-buraqueira","Athene cunicularia","3","0"
"102","coruja-buraqueira","Speotyto cunicularia","3","0"
"103","coruja-da-igreja","Tyto alba","3","0"
"104","coruja-do-mato","Strix vergata","3","0"
"105","coruja-do-mato","Strix virgata","3","0"
"106","coruja-orelhuda","Asio clamator","3","0"
"107","coruja-orelhuda","Asio clamator","3","0"
"108","corujinha","Otus sp.","3","0"
"109","corujinha-do-mato","Megascops choliba","3","0"
"110","corujinha-sapo","Otus atricapilla","3","0"
"111","cuíca-lanosa","Caluromys philander","4","0"
"112","cuíca","Caluromys sp.","4","0"
"113","cuíca","Marmosa paraguayana","4","0"
"114","cuíca","Micoureus demerarae","4","0"
"115","cuíca-quatro-olhos","Philander frenatus","4","0"
"116","curiango","Caprimulgus sp.","3","0"
"117","cuspidor-de-mascara-preta","Conopophaga melanops","3","0"
"118","cutia","em processo de id","4","0"
"119","dormideira","Sibynomorphus neuwiedi","2","0"
"120","falsa-coral","Atractus zebrinus","2","0"
"121","falsa-coral","Erythrolamprus aesculapii","2","0"
"122","falsa-coral","Oxyrhopus clathratus","2","0"
"123","falsa-coral","Siphlophis compressus","2","0"
"124","figuinha-de-rabo-castanho","Conirostrum speciosum","3","0"
"125","filipe","Myiophobus fasciatus","3","0"
"126","fim-fim-grande","Euphonia xanthogaster","3","0"
"127","furão","Galictis cuja","4","0"
"128","galinha-do-mato","Formicarius colma","3","0"
"131","garça","Ardeidae","3","0"
"132","garça-branca-grande","Ardea alba","3","0"
"133","gato-do-mato","Leopardus tigrinus","4","9"
"134","gato-mourisco","Puma yagouaroundi","4","0"
"135","gaturamo-verdadeiro","Euphonia violacea","3","0"
"136","gavião","Buteo sp.","3","0"
"137","gavião-bombachinha","Harpagus diodon","3","0"
"138","gavião-carijó","Rupornis magnirostris","3","0"
"140","gavião-carrapateiro","Mivalgo chimachima","3","0"
"141","gavião-de-cauda-curta","Buteo brachyurus","3","0"
"142","gavião-pernilongo","Geranospiza caerulescens","3","0"
