FaixaKm,codAnimal,TipoPavimento,TipoChuva,Intervencao,Vazamento,agua,vegetacaoBaixa,capimAlto,arbustos,floresta,TipoLocal,Taxonomia,Ave,Mamifero,Reptil,Anfibio
5,334,2,1,0,0,0,0,0,0,1,5,3,1,0,0,0
5,1,2,1,0,0,0,0,0,0,1,6,3,1,0,0,0
5,18,4,1,1,0,1,0,0,0,1,6,3,1,0,0,0
5,361,4,1,1,0,0,0,0,0,1,5,3,1,0,0,0
4,48,4,1,0,0,1,0,0,0,1,5,3,1,0,0,0
2,329,4,1,0,0,1,1,0,0,1,6,3,1,0,0,0
2,286,4,1,1,1,1,0,1,1,0,6,3,1,0,0,0
4,362,4,1,0,0,0,0,1,0,1,5,1,0,0,0,1
5,363,2,1,0,0,0,0,0,0,1,6,4,0,1,0,0
4,364,4,1,1,0,0,0,0,0,1,6,4,0,1,0,0
6,364,1,1,1,0,0,0,0,0,1,6,4,0,1,0,0
6,363,4,1,1,0,0,0,0,0,1,5,4,0,1,0,0
5,364,4,1,0,0,0,0,0,0,1,5,4,0,1,0,0
5,307,4,1,1,0,0,0,0,0,1,5,1,0,0,0,1
5,250,3,1,0,0,0,0,0,0,1,5,4,0,1,0,0
3,353,4,1,1,0,1,1,0,0,0,5,3,1,0,0,0
1,353,4,1,0,1,0,0,1,0,0,5,3,1,0,0,0
1,242,4,1,0,0,1,0,1,1,0,5,3,1,0,0,0
1,247,4,1,0,0,0,1,0,0,0,5,3,1,0,0,0
4,286,4,1,0,1,0,0,1,0,1,5,3,1,0,0,0
2,242,4,1,0,1,0,1,0,0,0,5,3,1,0,0,0
8,238,4,1,0,0,0,1,0,0,0,5,3,1,0,0,0
3,364,4,1,0,0,0,0,0,0,1,6,4,0,1,0,0
4,363,4,1,0,0,0,0,0,0,1,6,4,0,1,0,0
4,363,4,1,0,0,0,0,0,0,1,6,4,0,1,0,0
8,364,4,1,0,0,0,1,0,0,1,5,4,0,1,0,0
7,71,4,1,0,0,1,1,0,0,0,6,4,0,1,0,0
4,71,4,1,0,0,1,1,0,0,0,4,4,0,1,0,0
3,60,4,1,0,0,0,1,0,0,0,5,4,0,1,0,0
5,333,1,1,0,0,1,0,0,0,1,6,4,0,1,0,0
5,98,4,1,1,0,0,0,0,0,1,5,3,1,0,0,0
7,53,4,1,0,0,0,1,0,0,0,5,3,1,0,0,0
1,238,4,1,0,0,0,0,0,0,0,6,3,1,0,0,0
1,40,4,1,0,0,0,1,0,0,0,5,3,1,0,0,0
4,46,4,1,0,0,0,0,0,0,1,5,3,1,0,0,0
5,363,2,1,1,0,0,0,0,0,1,5,4,0,1,0,0
5,363,2,1,1,0,0,0,0,0,1,5,4,0,1,0,0
5,363,2,1,1,0,0,0,0,0,1,5,4,0,1,0,0
5,363,2,1,1,0,0,0,0,0,1,5,4,0,1,0,0
5,365,1,1,1,0,0,0,0,0,1,6,4,0,1,0,0
10,35,4,1,0,0,0,1,0,0,0,6,3,1,0,0,0
10,100,4,1,0,0,0,1,0,0,0,6,3,1,0,0,0
3,358,4,1,0,0,1,0,1,0,1,5,3,1,0,0,0
3,360,4,1,0,0,1,0,0,0,1,5,3,1,0,0,0
4,329,4,1,1,0,1,0,0,0,1,6,3,1,0,0,0
1,247,4,1,1,1,0,0,1,1,0,6,3,1,0,0,0
9,107,4,1,0,1,1,1,0,1,0,5,3,1,0,0,0
4,339,4,1,0,1,1,0,0,1,0,5,4,0,1,0,0
2,174,4,1,0,1,1,0,1,0,0,5,4,0,1,0,0
8,294,4,1,0,1,0,0,0,1,1,6,4,0,1,0,0
10,337,4,1,0,1,1,0,1,0,1,5,4,0,1,0,0
1,25,4,1,0,1,0,1,0,0,0,5,4,0,1,0,0
1,71,4,1,0,1,1,0,1,0,0,3,4,0,1,0,0
1,71,4,1,0,1,1,0,1,0,0,3,4,0,1,0,0
1,363,4,1,0,1,0,1,0,1,0,5,4,0,1,0,0
9,252,4,1,0,1,0,0,1,1,0,5,4,0,1,0,0
5,363,4,1,0,1,0,0,0,0,1,5,4,0,1,0,0
9,252,4,1,0,1,0,0,0,0,1,5,4,0,1,0,0
10,339,4,1,0,1,1,0,1,0,0,5,4,0,1,0,0
9,102,4,1,0,1,0,1,0,0,0,5,3,1,0,0,0
9,247,4,1,0,1,0,1,0,0,0,5,3,1,0,0,0
2,339,4,1,0,1,1,0,0,0,1,5,4,0,1,0,0
8,149,4,1,0,1,0,1,0,0,0,6,3,1,0,0,0
8,60,4,1,0,1,0,1,0,0,1,6,4,0,1,0,0
5,250,4,1,0,1,0,0,0,0,1,6,4,0,1,0,0
7,107,4,1,0,1,1,1,0,1,0,7,3,1,0,0,0
1,134,4,1,0,1,1,0,1,1,0,6,4,0,1,0,0
5,250,4,1,0,1,0,0,0,0,1,5,4,0,1,0,0
6,71,4,1,0,1,1,0,1,0,0,5,4,0,1,0,0
2,93,4,1,0,1,1,1,1,0,0,5,2,0,0,1,0
5,71,4,1,0,1,0,0,1,0,0,6,4,0,1,0,0
6,72,4,1,0,1,0,0,0,0,0,7,3,1,0,0,0
